smiles,alert_type,smarts,match_atom_indices
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Michael acceptor,C=C(C=O)C=O,"18,20,21,23,24,25"
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Ketone,[#6]-C(=O)-[#6],"8,31,32,30; 20,24,25,26"
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,I16 Betalactams,N1CCC1=O,"20,4,5,18,19"
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,betalactam,C1(=O)~[#6]~[#6]N1,"18,19,5,4,20"
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,b-lactam,N1CCC1=O,"20,4,5,18,19"
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,iodine,I,18; 29
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,unacceptable atoms,[!#6;!#7;!#8;!#16;!#1;!#3;!#9;!#11;!#12;!#15;!#17;!#19;!#20;!#30;!#35],18; 29
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Ketone,[#6]-C(=O)-[#6],"12,13,14,15"
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,Filter9_metal,"[!#1!#6!#7!#8!#9!#15!#16!#17]~[*,#1]","18,17; 29,28"
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,aryl iodide,I-c:*,"18,17,16; 18,17,19; 29,28,19; 29,28,30"
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Filter82_pyridinium,"[c,n]1[c,n][c,n][c,n][c,n]n(C)1","23,19,17,16,25,24,1"
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)","9,10,2,15,16"
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Dye 11,"*=,:[#6]C([#6]=,:*)[#6]=,:*","4,3,2,9,10,15,16; 8,3,2,9,10,15,16"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]","12,10"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,alkyl halide,"[CX4][Cl,Br,I]","10,12"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,secondary_halide_sulfate,"[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]","10,12"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,alkyl_halides,"[Br,Cl,I][CX4;CH,CH2]","12,10"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,alkyl halide,"[Br,Cl,I][CX4,CH,CH2,CH3]","12,10"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,Filter1_2_halo_ether,"[Cl,Br,I][CX4][CX4][$([O,S,N]*),Cl,Br,I]","12,10,9,8"
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,Filter84_nitrogen_mustard,"[N,P,Se,S][C!H0]C[Br,Cl,I]","8,9,10,12"
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","8,9,10,12,13,21,22; 8,9,10,12,13,21,23; 9,10,12,13,21,23,24; 10,12,13,21,23,24,25; 10,12,13,21,23,24,32; 12,13,21,23,24,32,33; 13,21,23,24,32,33,35; 14,13,21,23,24,32,33; 21,23,24,32,33,35,36; 21,23,24,32,33,35,39; 22,21,23,24,32,33,35; 23,24,32,33,35,36,37; 23,24,32,33,35,36,38; 25,24,32,33,35,36,37; 25,24,32,33,35,36,38"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]","14,13; 15,13"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,alkyl halide,"[CX4][Cl,Br,I]","13,14; 13,15"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,nitro group,[N+](=O)[O-],"22,23,24"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]","22,24"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])","11,12,13,14; 11,12,13,15"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,secondary_halide_sulfate,"[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]","13,14; 13,15"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,alkyl_halides,"[Br,Cl,I][CX4;CH,CH2]","14,13; 15,13"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,Ester,[#6]-C(=O)O-[#6],"4,5,6,7,8"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","1,3,4,5,7,8,9; 2,1,3,4,5,7,8; 3,4,5,7,8,9,10; 3,4,5,7,8,9,16; 4,5,7,8,9,10,11; 4,5,7,8,9,16,17; 5,7,8,9,10,11,13"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,Dye 16 (1),c([N+](=O)[O-]),"21,22,23,24"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,alkyl halide,"[Br,Cl,I][CX4,CH,CH2,CH3]","14,13; 15,13"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,Filter4_alpha_halo_carbonyl,"[Br,Cl,I][C!H0]C=[O,S]","14,13,11,12; 15,13,11,12"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,aromatic NO2,O~N(=O)-c(:*):*,"24,22,23,21,20,25"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,alpha halo carbonyl,"O=C-C-[F,Cl,Br,I]","12,11,13,14; 12,11,13,15"
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,"aliphatic ester, not lactones",C[C!R](=O)[O!R][CH2D2],"4,5,6,7,8"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]","18,17; 19,17"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,alkyl halide,"[CX4][Cl,Br,I]","17,18; 17,19"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,nitro group,[N+](=O)[O-],"12,13,14"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]","12,14"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])","1,0,17,18; 1,0,17,19"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,secondary_halide_sulfate,"[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]","17,18; 17,19"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,alkyl_halides,"[Br,Cl,I][CX4;CH,CH2]","18,17; 19,17"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Dye 16 (1),c([N+](=O)[O-]),"11,12,13,14"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,alkyl halide,"[Br,Cl,I][CX4,CH,CH2,CH3]","18,17; 19,17"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Filter4_alpha_halo_carbonyl,"[Br,Cl,I][C!H0]C=[O,S]","18,17,1,0; 19,17,1,0"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,aromatic NO2,O~N(=O)-c(:*):*,"14,12,13,11,10,15"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,alpha halo carbonyl,"O=C-C-[F,Cl,Br,I]","0,1,17,18; 0,1,17,19"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],"1,2,3,4,5,6,7"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"1,2,3,4; 2,3,4,5; 3,4,5,6; 4,5,6,7"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,long chain hydrocarbon,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],"1,2,3,4,5,6; 2,3,4,5,6,7"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,2,3,4,5,6; 1,2,3,4,5,6,7"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]","0,1,2,3,4,5; 1,2,3,4,5,6; 2,3,4,5,6,7"
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,"long aliphatic chain, 6+",[CH2][CH2][CH2]-!@[CH2][CH2][CH2],"1,2,3,4,5,6; 2,3,4,5,6,7"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,R7 Peroxides,OO,"25,26"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,peroxide,OO,"25,26"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,peroxide,[#8]~[#8],"25,26"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,peroxide,[#8]~[#8],"25,26"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,acetal,[#6]-O[CH1](-[#6])O-[#6],"7,16,17,24,18,19; 9,8,7,5,16,17"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,Ester,[#6]-C(=O)O-[#6],"11,9,10,8,7"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","7,8,9,11,12,13,15"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,peroxide,OO,"25,26"
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,43,O~O,"25,26"
O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,gte_7_aliphatic_OH,C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1].C[O;D1],"1,2,15,17,30,31,32,33,34,35,36,37,51,52; 1,2,15,17,30,31,32,33,34,35,36,37,53,54; 1,2,15,17,30,31,32,33,34,35,36,37,55,56; 1,2,15,17,30,31,32,33,34,35,36,37,57,58; 1,2,15,17,30,31,32,33,34,35,51,52,53,54; 1,2,15,17,30,31,32,33,34,35,51,52,55,56; 1,2,15,17,30,31,32,33,34,35,51,52,57,58; 1,2,15,17,30,31,32,33,34,35,53,54,55,56; 1,2,15,17,30,31,32,33,34,35,53,54,57,58; 1,2,15,17,30,31,32,33,34,35,55,56,57,58; 1,2,15,17,30,31,32,33,36,37,51,52,53,54; 1,2,15,17,30,31,32,33,36,37,51,52,55,56; 1,2,15,17,30,31,32,33,36,37,51,52,57,58; 1,2,15,17,30,31,32,33,36,37,53,54,55,56; 1,2,15,17,30,31,32,33,36,37,53,54,57,58; 1,2,15,17,30,31,32,33,36,37,55,56,57,58; 1,2,15,17,30,31,32,33,51,52,53,54,55,56; 1,2,15,17,30,31,32,33,51,52,53,54,57,58; 1,2,15,17,30,31,32,33,51,52,55,56,57,58; 1,2,15,17,30,31,32,33,53,54,55,56,57,58; 1,2,15,17,30,31,34,35,36,37,51,52,53,54; 1,2,15,17,30,31,34,35,36,37,51,52,55,56; 1,2,15,17,30,31,34,35,36,37,51,52,57,58; 1,2,15,17,30,31,34,35,36,37,53,54,55,56; 1,2,15,17,30,31,34,35,36,37,53,54,57,58; 1,2,15,17,30,31,34,35,36,37,55,56,57,58; 1,2,15,17,30,31,34,35,51,52,53,54,55,56; 1,2,15,17,30,31,34,35,51,52,53,54,57,58; 1,2,15,17,30,31,34,35,51,52,55,56,57,58; 1,2,15,17,30,31,34,35,53,54,55,56,57,58; 1,2,15,17,30,31,36,37,51,52,53,54,55,56; 1,2,15,17,30,31,36,37,51,52,53,54,57,58; 1,2,15,17,30,31,36,37,51,52,55,56,57,58; 1,2,15,17,30,31,36,37,53,54,55,56,57,58; 1,2,15,17,30,31,51,52,53,54,55,56,57,58; 1,2,15,17,32,33,34,35,36,37,51,52,53,54; 1,2,15,17,32,33,34,35,36,37,51,52,55,56; 1,2,15,17,32,33,34,35,36,37,51,52,57,58; 1,2,15,17,32,33,34,35,36,37,53,54,55,56; 1,2,15,17,32,33,34,35,36,37,53,54,57,58; 1,2,15,17,32,33,34,35,36,37,55,56,57,58; 1,2,15,17,32,33,34,35,51,52,53,54,55,56; 1,2,15,17,32,33,34,35,51,52,53,54,57,58; 1,2,15,17,32,33,34,35,51,52,55,56,57,58; 1,2,15,17,32,33,34,35,53,54,55,56,57,58; 1,2,15,17,32,33,36,37,51,52,53,54,55,56; 1,2,15,17,32,33,36,37,51,52,53,54,57,58; 1,2,15,17,32,33,36,37,51,52,55,56,57,58; 1,2,15,17,32,33,36,37,53,54,55,56,57,58; 1,2,15,17,32,33,51,52,53,54,55,56,57,58; 1,2,15,17,34,35,36,37,51,52,53,54,55,56; 1,2,15,17,34,35,36,37,51,52,53,54,57,58; 1,2,15,17,34,35,36,37,51,52,55,56,57,58; 1,2,15,17,34,35,36,37,53,54,55,56,57,58; 1,2,15,17,34,35,51,52,53,54,55,56,57,58; 1,2,15,17,36,37,51,52,53,54,55,56,57,58; 1,2,30,31,32,33,34,35,36,37,51,52,53,54; 1,2,30,31,32,33,34,35,36,37,51,52,55,56; 1,2,30,31,32,33,34,35,36,37,51,52,57,58; 1,2,30,31,32,33,34,35,36,37,53,54,55,56; 1,2,30,31,32,33,34,35,36,37,53,54,57,58; 1,2,30,31,32,33,34,35,36,37,55,56,57,58; 1,2,30,31,32,33,34,35,51,52,53,54,55,56; 1,2,30,31,32,33,34,35,51,52,53,54,57,58; 1,2,30,31,32,33,34,35,51,52,55,56,57,58; 1,2,30,31,32,33,34,35,53,54,55,56,57,58; 1,2,30,31,32,33,36,37,51,52,53,54,55,56; 1,2,30,31,32,33,36,37,51,52,53,54,57,58; 1,2,30,31,32,33,36,37,51,52,55,56,57,58; 1,2,30,31,32,33,36,37,53,54,55,56,57,58; 1,2,30,31,32,33,51,52,53,54,55,56,57,58; 1,2,30,31,34,35,36,37,51,52,53,54,55,56; 1,2,30,31,34,35,36,37,51,52,53,54,57,58; 1,2,30,31,34,35,36,37,51,52,55,56,57,58; 1,2,30,31,34,35,36,37,53,54,55,56,57,58; 1,2,30,31,34,35,51,52,53,54,55,56,57,58; 1,2,30,31,36,37,51,52,53,54,55,56,57,58; 1,2,32,33,34,35,36,37,51,52,53,54,55,56; 1,2,32,33,34,35,36,37,51,52,53,54,57,58; 1,2,32,33,34,35,36,37,51,52,55,56,57,58; 1,2,32,33,34,35,36,37,53,54,55,56,57,58; 1,2,32,33,34,35,51,52,53,54,55,56,57,58; 1,2,32,33,36,37,51,52,53,54,55,56,57,58; 1,2,34,35,36,37,51,52,53,54,55,56,57,58; 15,17,30,31,32,33,34,35,36,37,51,52,53,54; 15,17,30,31,32,33,34,35,36,37,51,52,55,56; 15,17,30,31,32,33,34,35,36,37,51,52,57,58; 15,17,30,31,32,33,34,35,36,37,53,54,55,56; 15,17,30,31,32,33,34,35,36,37,53,54,57,58; 15,17,30,31,32,33,34,35,36,37,55,56,57,58; 15,17,30,31,32,33,34,35,51,52,53,54,55,56; 15,17,30,31,32,33,34,35,51,52,53,54,57,58; 15,17,30,31,32,33,34,35,51,52,55,56,57,58; 15,17,30,31,32,33,34,35,53,54,55,56,57,58; 15,17,30,31,32,33,36,37,51,52,53,54,55,56; 15,17,30,31,32,33,36,37,51,52,53,54,57,58; 15,17,30,31,32,33,36,37,51,52,55,56,57,58; 15,17,30,31,32,33,36,37,53,54,55,56,57,58; 15,17,30,31,32,33,51,52,53,54,55,56,57,58; 15,17,30,31,34,35,36,37,51,52,53,54,55,56; 15,17,30,31,34,35,36,37,51,52,53,54,57,58; 15,17,30,31,34,35,36,37,51,52,55,56,57,58; 15,17,30,31,34,35,36,37,53,54,55,56,57,58; 15,17,30,31,34,35,51,52,53,54,55,56,57,58; 15,17,30,31,36,37,51,52,53,54,55,56,57,58; 15,17,32,33,34,35,36,37,51,52,53,54,55,56; 15,17,32,33,34,35,36,37,51,52,53,54,57,58; 15,17,32,33,34,35,36,37,51,52,55,56,57,58; 15,17,32,33,34,35,36,37,53,54,55,56,57,58; 15,17,32,33,34,35,51,52,53,54,55,56,57,58; 15,17,32,33,36,37,51,52,53,54,55,56,57,58; 15,17,34,35,36,37,51,52,53,54,55,56,57,58; 30,31,32,33,34,35,36,37,51,52,53,54,55,56; 30,31,32,33,34,35,36,37,51,52,53,54,57,58; 30,31,32,33,34,35,36,37,51,52,55,56,57,58; 30,31,32,33,34,35,36,37,53,54,55,56,57,58; 30,31,32,33,34,35,51,52,53,54,55,56,57,58; 30,31,32,33,36,37,51,52,53,54,55,56,57,58; 30,31,34,35,36,37,51,52,53,54,55,56,57,58; 32,33,34,35,36,37,51,52,53,54,55,56,57,58"
O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,acetal,[#6]-O[CH1](-[#6])O-[#6],"25,26,27,36,28,29; 46,47,48,57,49,50"
O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,Ketone,[#6]-C(=O)-[#6],"7,60,61,59; 21,22,23,24"
O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,too many COOH groups (>1),[CX3](=O)[OH1].[CX3](=O)[OH1],"1,0,2,15,16,17"
Clc1ccc(CCCOCCCN2CCCCC2)cc1,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],"5,6,7,8; 6,7,8,9; 7,8,9,10; 8,9,10,11"
Clc1ccc(CCCOCCCN2CCCCC2)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","5,6,7,8,9,10,11; 6,7,8,9,10,11,12"
Clc1ccc(CCCOCCCN2CCCCC2)cc1,Unbranched chain,"[$([A&D2]),$([A&D1])]!@[A&D2]!@[A&D2]!@[A&D2]!@[A&D2]!@[$([A&D2]),$([A&D1])]","5,6,7,8,9,10; 6,7,8,9,10,11"
NC(=O)c1nc(F)cnc1O,2-halopyridine,"[F,Cl,Br][c]1:[c,n]:[c,n]:[c,n]:[c,n]:[n]1","6,5,7,8,9,3,4"
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,mannich_A(296),[#7]-[C;X4]-c1ccccc1-[O;H1],"25,24,23,28,17,18,19,21,22"
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,Ester,[#6]-C(=O)O-[#6],"5,3,4,2,1"
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,Filter9_metal,"[!#1!#6!#7!#8!#9!#15!#16!#17]~[*,#1]","20,19"
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,aryl bromide,Br-c:*,"20,19,18; 20,19,21"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,imine,C=[N!R],"22,23"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,imine,"N=[CR0][N,n,O,S]","23,22,21; 23,22,24"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,phenol ester,c1ccccc1OC(=O)[#6],"12,11,10,28,27,13,14,15,16,17"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,Phenylester,C(=O)!@Oc1ccccc1,"15,16,14,13,12,11,10,28,27"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,enamine_like,C=[NH],"22,23"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,Ester,[#6]-C(=O)O-[#6],"9,7,8,6,5; 17,15,16,14,13"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,Imine 3,C=[NH],"22,23"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,3,5,6,7,9; 2,1,3,5,6,7,9"
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,"aliphatic ester, not lactones",C[C!R](=O)[O!R][CH2D2],"9,7,8,6,5"
N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,catechol,"c1c([OH])c([OH,NH2,NH])ccc1","4,5,6,7,8,9,10,3"
N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,catechol_A(92),c:1:c:c(:c(:c:c:1)-[#8;H1])-[#8;H1],"3,4,5,7,9,10,8,6"
N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,amino acid,[NH2][CX4]C(=O)O,"0,1,12,13,14"
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,phosphor,P,28
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,Ketone,[#6]-C(=O)-[#6],"8,9,10,11; 22,24,25,26"
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,vinyl michael acceptor1,"[#6]-[CH1]=C-C(=O)[#6,#7,#8]","13,12,11,9,10,8"
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,Phosphoric acid,[OH]-P(=O)(-O)-*,"30,28,29,27,31"
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,Phosphoric ester,COP(=O)(-*)O,"26,27,28,29,30,31"
