Compound No.,PubChem ID,ChEMBL ID,smiles
264,12004742,"CHEMBL1186487, CHEMBL466420, CHEMBL1573754",CCC(=CC1=[N+](C2=C(S1)C=CC(=C2)OC)CCO)C=C3N(C4=C(S3)C=CC(=C4)OC)CCO.[Cl-]
265,5717105,"CHEMBL1197556, CHEMBL576409",CCN1C(=CC2=[N+](C3=CC=CC=C3C=C2)CC)C=CC4=CC=CC=C41.[Cl-]
266,72721,CHEMBL175266,CC1=C2C=C(C(=O)C=C2OC3=CC(=C(C=C13)O)O)O
267,2133777,CHEMBL1335844,C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4
268,5052536,CHEMBL1334670,C1CN(CCN1C2=CC(=C3C4=C(C5=CC=CC=C5C3=O)ON=C24)NCCCC(=O)O)C(=O)C6=CC=CO6
269,24761366,CHEMBL1302524,CC(=O)N(C1=CC=C(C=C1)C(=O)O)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl
270,112939,"CHEMBL1353221, CHEMBL1616414",C1=CC2=C(C=C1[O-])OC3=CC(=O)C=CC3=[N+]2[O-].[Na+]
271,5756549,CHEMBL1352607,CC1(C2=CC=CC=C2N(C1=CC=C3C(=O)NC(=S)S3)C)C
272,1481943,CHEMBL1307207,C1CN(CCC1C(=O)N)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl
273,2275810,CHEMBL1365290,CC1=C(C=C(C=C1)N2C(=O)C(=CC=CC3=CC=CO3)C(=O)NC2=O)C
274,6400942,CHEMBL1371777,C1=CC=C(C(=C1)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4)Cl
275,16195997,"CHEMBL1366942, CHEMBL1616991",CN(C)C1=CC=C(C=C1)C=CC2=[N+](C3=C(C=C2)C4=CC=CC=C4C=C3)C5=CC=CC=C5.[Cl-]
276,651422,"CHEMBL1364729, CHEMBL1617020",CCCN1CCCC2=C1C=CC(=C2)CN.C(=O)(C(=O)O)O
277,5281952,"CHEMBL1314043, CHEMBL1556805",CC[N+]1=C(SC2=CC=CC=C21)C=CC=CC3=CC=C(C=C3)N(C)C.[O-]Cl(=O)(=O)=O
278,16211935,"CHEMBL1316831, CHEMBL1617377",CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl
279,992586,CHEMBL1331211,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br
280,659226,CHEMBL1331573,CCOC(=O)C(C1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C(=C1)Br)C(=O)OCC
281,2939678,CHEMBL1329974,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-]
282,663373,CHEMBL1331809,CCOC(=O)C(C1=C2C(=C(C(=C1Br)O)O)C(=CO2)C(=O)C3=CC=C(C=C3)C)C(=O)C
283,1559791,CHEMBL1328733,C1=CC=C(C=C1)N2C(=O)C(=CC3=CC=CO3)C(=O)NC2=S
284,2930652,CHEMBL1326833,COC1=CC(=C(C=C1)OC)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O
285,2133793,CHEMBL1319488,C1=CC=C2C(=C1)C(=CC(=C2O)SC3=CC=CC4=C3N=CC=C4)NS(=O)(=O)C5=CC=C(C=C5)F
286,5353685,CHEMBL1257003,COC1=C(C(=CC(=C1)C=C(C#N)C(=O)C2=CC(=C(C=C2)O)O)I)O
287,992591,CHEMBL1342410,CC1=CC(=C(C=C1)C)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O
288,4299085,CHEMBL1378952,CN1CCN(CC1)C(C2=CC=C(C=C2)Cl)C3=CC(=C4C=CC=NC4=C3O)Cl
289,663844,CHEMBL1379677,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCCCN5C=CN=C5
290,1368249,CHEMBL1384702,COC1=CC=C(C=C1)C(=O)C2=C(OC3=C2C(=O)C4=CC=CC=C4C3=O)C(F)(F)F
291,2851304,CHEMBL1383312,CN1C2=CC=CC=C2N=C1N=NC3=CC=C(C=C3)N(C)C
292,9549698,CHEMBL1373655,CC1=NN(C(=O)C1=CC=CC2=CC=CO2)C3=CC=CC(=C3)C(=O)O
293,4304519,CHEMBL1381495,CCOP(=O)(C1(C=C(C(=O)C2=CC=CC=C21)Cl)NS(=O)(=O)C3=CC=CC=C3)OCC
294,5322407,CHEMBL1374603,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(C4C3C=CC4)C5=CC=C(C=C5)C(=O)O
295,16187754,"CHEMBL1382917, CHEMBL1618929",CCN1C2=C(C=C(C=C2)C)SC1=CC3=[N+](C4=CC=CC=C4C=C3)CC.[I-]
296,4836362,CHEMBL1382785,C1=CC=C(C(=C1)C(=O)O)NS(=O)(=O)C2=CC(=C(C=C2)NNC(=S)NC3=CC=C(C=C3)OC(F)F)[N+](=O)[O-]
297,5689963,CHEMBL1381627,COC1=CC(=CC(=C1OC)OC)C2=NN=C(O2)SCC3=CC(=O)OC4=CC(=C(C=C34)O)O
298,2809268,CHEMBL1384771,C1=CC(=CC=C1NN=C(C#N)C#N)N2C=CC(=N2)C(F)(F)F
299,1736294,CHEMBL1384253,CCOC(=O)C1=C(NC2=C1C3=CC=CC=C3C(=O)C2=O)C
300,3093671,CHEMBL1392651,CC1=CC=C(C=C1)S(=O)(=O)NC2(C3=CC=CC=C3C(=O)C(=C2Cl)Cl)OC
301,2201553,CHEMBL1388509,C1CCCN(CC1)C2=CC=C(O2)C=C(C#N)C3=CC=C(C=C3)Cl
302,1227531,CHEMBL1398964,C1=COC(=C1)C=CC=C2C(=NN(C2=O)C3=CC(=C(C=C3)Cl)C(=O)O)C(F)(F)F
303,5922856,CHEMBL1401747,C1=COC(=C1)C=CC=C2C(=O)N(C(=S)S2)NC(=O)C3=CC=NC=C3
304,"16192804, 16193034","CHEMBL1404493, CHEMBL1619553",CCN1/C(=C/c2ccc3cc(C)ccc3[n+]2CC)Sc2cc(C)c(C)cc21.[I-]
305,1203912,CHEMBL1391547,C1C=CC2C1C(NC3=C2C=C(C=C3)C(=O)O)C4=CC=CC=N4
306,12005023,CHEMBL1405834,C1=COC(=C1)CSC2=CC=C(O2)C=C3C(=O)NC(=S)S3
307,5105556,CHEMBL1400512,CC(C)OP(=O)(C1(C=C(C(=O)C2=CC=CC=C21)Br)NS(=O)(=O)C3=CC=CC=C3)OC(C)C
308,1002249,CHEMBL1418568,CN1CCN(CC1)C2=C(C(=O)C(=C(C2=O)Cl)C3=CN=C(S3)N4CCCCC4)Cl
309,100520,CHEMBL1413680,C1=CN=CN=C1SC2=NC=C(S2)[N+](=O)[O-]
310,4654931,CHEMBL1417929,C1CS(=O)(=O)CC1NC2=C(C(=O)C3=CC=CC=C3C2=O)NC(=O)C4=CC=CC=C4
311,2321190,CHEMBL1416493,COC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)NC3=C(C=C(C=N3)C(F)(F)F)Cl)O
312,6393804,CHEMBL1416439,C1=CC=C(C=C1)S(=O)(=O)NN2C(=O)C(=CC=CC3=CC=CO3)SC2=S
313,2975144,CHEMBL1417070,CC1=C(C=CC=C1Cl)NS(=O)(=O)C2=CC3=C(C=C2)NC(C4C3C=CC4)C5=CC=C(C=C5)C(=O)O
314,5293426,CHEMBL1431490,C1=CC=C(C=C1)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4
315,24761624,CHEMBL1470483,C1=CC(=CC=C1CN2C(=O)C(=CC3=C(C=CC(=C3)[N+](=O)[O-])O)SC2=S)Cl
316,2058961,CHEMBL1465938,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O
317,3245701,CHEMBL1469246,CCOC(=O)N1CCN(CC1)C2=CC(=C3C4=C(C5=CC=CC=C5C3=O)ON=C24)NCCC(=O)O
318,109673,"CHEMBL1432963, CHEMBL1620786",CC1=C(C=CC(=C1)N)N2CCCC2.Cl
319,3101746,CHEMBL1432707,CC1=CC(=C2C(=N1)C(=CC(=O)C2=O)N3CCOCC3)C(=O)OC
320,272529,CHEMBL1454614,C1COCCN1C2=CC(=O)C(=O)C3=CC=CC=C32
321,3095209,CHEMBL1451931,C1=CC=C(C=C1)CNC2=CC(=O)C(=O)C3=CC=CC=C32
322,5290648,CHEMBL1465322,CC1(C2=CC=CC=C2N(C1=CC=C3C(=O)N(C(=S)S3)CC(=O)O)C)C
323,3816369,CHEMBL1470135,CC1=C(C2=C(O1)C3=CC=CC=C3C(=O)C2=O)C(=O)C4=CC=CC=C4
324,260557,CHEMBL1451772,CN(C)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl
325,6032979,CHEMBL3196451,CC1=CC=C(C=C1)NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
326,15944801,CHEMBL1425538,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O
327,3453217,CHEMBL1430473,C1C=CC2C1C(NC3=C2C(=C(C=C3O)Cl)[N+](=O)[O-])C(=O)O
328,1895189,CHEMBL1439414,C1=CC=C2C(=C1)NC(=N2)SC3=CC=C(O3)C=C4C(=O)NC(=O)N(C4=O)C5=CC(=CC=C5)Cl
329,24761053,"CHEMBL1485159, CHEMBL1622128",C[N+]1=C2C=C(C=CC2=NC3=CC=CC=C31)NCCO.[O-]Cl(=O)(=O)=O
330,323616,CHEMBL1446929,CCC(=O)NC1=C(C(=O)C(=C(C1=O)Cl)NC(=O)CC)Cl
331,6258408,CHEMBL1447306,CC1=NNC(=O)C1=CC2=CN(N=C2C3=CC=CC=C3)C4=CC=CC=C4
332,1405137,CHEMBL1445776,C1COCCN1C2=C(C(=O)C3=CC=CC=C3C2=O)N4C5=CC=CC=C5N=N4
333,1622396,CHEMBL1486503,CC1=CN2C(=N)C(=CC3=CC=C(O3)[N+](=O)[O-])C(=O)N=C2S1
334,3757655,CHEMBL1461574,CCOP(=O)(C1(C=C(C(=O)C2=CC=CC=C21)Br)NS(=O)(=O)C3=CC=CC=C3)OCC
335,406171,CHEMBL1464853,C1CCN(CC1)C2=C(C(=O)C(=C(C2=O)Cl)C3=CN=C(S3)N4CCCCC4)Cl
336,756377,CHEMBL1458873,CCN(CC)C1=CC2=C(C=C1)C3=C(C(=CC(=O)O3)Cl)C(=O)O2
337,10603,CHEMBL1479103,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O
338,5702759,"CHEMBL1492585, CHEMBL1622574",CC[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-]
339,1945566,CHEMBL1494656,CSC1=NSC2=NC(=O)C(=CC3=COC4=C(C3=O)C=C(C=C4)O)C(=N)N21
340,1380424,CHEMBL1494973,CCN(CC)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl
341,10860295,"CHEMBL1497838, CHEMBL1622746",CNC1=CC2=[N+](C3=CC=CC=C3N=C2C=C1)C.[O-]Cl(=O)(=O)=O
342,671424,CHEMBL1495778,C1=CC=C2C(=C1)C(=O)C(=CC3=CC=C(O3)Br)C2=O
343,9549141,CHEMBL1498509,C1=CC=C(C=C1)C2=CC3=C(C=C2)C(=O)C(=O)C4=CC=CC=C43
344,2012947,CHEMBL1492305,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(O3)C=C4C(=O)N(C(=S)S4)CCCC(=O)O
345,6241261,CHEMBL1493191,C1=COC(=C1)C=CC=C2C(=O)N(C(=S)S2)C3=CC=C(C=C3)O
346,5513575,CHEMBL1501743,C1=CC=C(C=C1)C2=CSC3=NC(=O)C(=CC4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)C(=N)N23
347,7514097,CHEMBL1502018,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCC(=O)O)NCCC(=O)O
348,16195500,CHEMBL1492565,C1=CC=C(C=C1)C2=CSC3=NC(=O)C(=CC4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)C(=N)N23
349,5994065,CHEMBL1508847,C1=COC(=C1)C=CC=C2C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O
350,5676317,CHEMBL2095095,C1=CC=C(C=C1)NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
351,652912,CHEMBL1528814,COC1=CC=CC2=C1NC(C3C2C=CC3)C(=O)O
352,1002248,CHEMBL1524916,CN(C)C1=NC=C(S1)C2=C(C(=O)C(=C(C2=O)Cl)N3CCCC3)Cl
353,282594,CHEMBL1526855,CC(=O)N(C1CCCCC1)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl
354,654089,CHEMBL1527520,C1C=CC2C1C(NC3=C2C=CC=C3O)C(=O)O
355,2885134,CHEMBL1518827,CCOC1=CC2=C(C3=C(C=C(C=C3)NCC4=CC=C(C=C4)OC)N=C2C=C1)N
356,265940,CHEMBL1519374,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC4=C(C=C3)C=NN4
357,23723895,"CHEMBL1522563, CHEMBL1623170",C1=CC=[N+]2C(=C1)C=CC3=C2C=C(C=C3)N.[O-]Cl(=O)(=O)=O
358,6892904,CHEMBL1699206,C1=CC=C2C=C(C(=CC2=C1)C(=O)NN=CC3=CC=C(O3)C4=CC=C(C=C4)S(=O)(=O)NC5=NC=CC=N5)O
359,2059132,CHEMBL1541339,CC(C)(C)C1CC(=CC2=CC=CC=N2)C(=O)C(=CC3=CC=CC=N3)C1
360,16192986,"CHEMBL1542748, CHEMBL1625009",CCN1C2=C(C=C(C=C2)C)SC1=CC3=[N+](C4=C(C=C(C=C4C=C3)C)C)CC.[I-]
361,1309516,CHEMBL1564699,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Cl
362,9550113,CHEMBL1542128,CCCC1=NN2C(=N)C(=CC3=CC=C(O3)SCC4=CC=CO4)C(=O)N=C2S1
363,3728472,CHEMBL1563898,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)[N+](=O)[O-]
364,3696529,CHEMBL1542862,CC1=CC=C(C=C1)C(=O)C2=C(OC3=C2C(=O)C(=O)C4=CC=CC=C43)C
365,24747725,"CHEMBL1548086, CHEMBL1624390",CCCCCCCCCCC[N+](C)(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Br-]
366,5952293,CHEMBL1546048,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(O3)C=C4C(=O)N(C(=S)S4)C(CC(=O)O)C(=O)O
367,6001017,CHEMBL1546134,CC1=NNC(=O)C1=CC2=CN(N=C2C3=CC=CS3)C4=CC=CC=C4
368,659413,CHEMBL1569232,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCC5=CC=CO5
369,2931982,CHEMBL1571034,COC1=CC(=C(C=C1C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)OC)OC
370,741762,CHEMBL1573529,CCN(CC)C1=CC=C(C=C1)C=C2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O
371,1072148,CHEMBL1567571,CC(=O)C1=C(C(=O)C2=CC=CC=C2C1=O)C3=CC=C(C=C3)Br
372,1897383,CHEMBL1570587,C1=CC=C(C=C1)C(=O)NC2=C(C(=O)C(=C(C2=O)Cl)NC(=O)C3=CC=CC=C3)Cl
373,512832,CHEMBL1571835,C1CCN(CC1)C2=CC=C(C=C2)N3C(=O)C=CC3=O
374,3136298,CHEMBL1567396,CC(=O)C1=CC2=C(C=C1)NC(C3C2C=CC3)C(=O)O
375,608257,CHEMBL1556661,CC(C)(C=O)C1=CC(=O)C2=CC=CC=C2C1=O
376,6237926,CHEMBL1556531,C1=COC(=C1)C=C2C(=O)N(C(=S)S2)CC(=O)NC3=CC(=C(C=C3)C(=O)O)O
377,16875665,"CHEMBL1558285, CHEMBL1624119",CC[N+]1=C2C=C(C=CC2=NC3=CC=CC=C31)N(CC)CC.[I-]
378,6387158,CHEMBL1575767,C1=CC=C(C=C1)CC(C(=O)O)N2C(=O)C(=CC=CC3=CC=CO3)SC2=S
379,12004724,"CHEMBL1575502, CHEMBL1625914",CCN1C2=CC=CC=C2SC1=CC3=[N+](C4=C(C=C3)C=C(C=C4)C)CC.[I-]
380,6402998,CHEMBL1581251,CC1=C(C(=CC=C1)C)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4
381,2044775,CHEMBL1574857,C1=COC(=C1)C=CC=C2C(=O)N(C(=S)S2)CCCC(=O)O
382,369538,CHEMBL1607313,COC1=CC2=C(C=C1)NC3=C2C=CC4=C3C(=O)C=CC4=O
383,776361,CHEMBL1606122,CCNC1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C=C1
384,54683147,CHEMBL1601846,C1=C2C(=C(C(=C1O)O)O)C3=C(C=C(C(=O)O3)O)OC2=O
385,16428168,CHEMBL1606907,C1=COC(=C1)C=C2C(=O)N(C(=S)S2)CCC(=O)NC3=CC(=C(C=C3)C(=O)O)O
386,1918388,CHEMBL1597042,C1=COC(=C1)CN2C(=O)C(=CC=CC3=CC=CO3)C(=O)NC2=O
387,16193032,"CHEMBL1588926, CHEMBL1625147",CCN1C(=CC2=[N+](C3=CC=CC=C3C=C2)CC=C)C=CC4=C1C=CC(=C4)C.[Br-]
388,24747730,"CHEMBL1589425, CHEMBL1625287",CCCCCCCCCC[N+](C)(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Br-]
389,17579079,CHEMBL1588052,C1=COC(=C1)C=C2C(=O)N(C(=S)S2)CCCC(=O)NC3=C(C=C(C=C3)O)C(=O)O
390,755636,CHEMBL1584752,CCOC(=O)C1=C(C(=O)C2=CC=CC=C2C1=O)CC3=CC=C(C=C3)F
391,3358745,CHEMBL1583838,C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)C(=O)O)N
392,1976446,CHEMBL1588106,C1=CC=C2C(=C1)C(=O)C(=CO2)C=C3C(=N)N4C(=NC3=O)SC(=N4)C5=CC=NC=C5
393,12871037,"CHEMBL1613238, CHEMBL1626260",CC[N+]1=CC=C(C2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-]
394,1308940,CHEMBL1420642,COC1=C(C=C(C(=C1)C=C2C(=O)C3=C(C2=O)C(=CC=C3)[N+](=O)[O-])Br)O
395,2744279,CHEMBL1361740,CCN1C(=CC(=N1)C)C2=NN=C(N2C)SC3=NC=C(S3)[N+](=O)[O-]
396,776370,CHEMBL1495539,C1CCN(C1)C2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2
397,5953984,CHEMBL1320230,C1=CC=C(C(=C1)C(=O)NN2C(=O)C(=CC=CC3=CC=CO3)SC2=S)O
398,5791841,CHEMBL1721986,CC(C)C1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4
399,5601088,CHEMBL1981797,CC1=CC(=O)C(=CC1=NOS(=O)(=O)C2=CC=CC=C2)C(C)C
400,5824722,CHEMBL1982305,CC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=CC(=C4)C(=O)O
401,5431927,CHEMBL1990772,CC(=NNC(=O)C1=CC2=CC=CC=C2C=C1O)C3C(=O)C4=CC=CC=C4C3=O
402,5663704,CHEMBL1986259,CC1=CC(=NOS(=O)(=O)C2=CC=CC=C2)C(=CC1=O)C
403,22524940,CHEMBL1987894,CCC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O
404,5824726,CHEMBL1969046,CC1=CC(=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=CC(=C4)C(=O)O)C
405,5777448,CHEMBL1974389,CC1=CC=C(C=C1)S(=O)(=O)ON=C2C=CC(=O)C(=C2C)C
406,6023693,CHEMBL1999630,CC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4C2=O
407,5998602,CHEMBL1998302,C1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O
408,5435067,CHEMBL1998184,C1=CC(=CC(=C1)[N+](=O)[O-])NN=C(C#N)C(=O)C2=CC=C(C=C2)Br
409,5902515,CHEMBL1996724,CC(=O)NC1=CC=C(C=C1)NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
410,6023694,CHEMBL2003651,C1=CC=C2C(=C1)C(=NS(=O)(=O)C3=CC=C(C=C3)C(=O)O)C=C(C2=O)NC4=CC=CC=C4F
411,5791766,CHEMBL2003806,CC1=CC(=C(C=C1C)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4)C
412,11834461,CHEMBL2006503,CC1=C(C=C(C=C1)Cl)NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
413,15945679,CHEMBL1990598,CN1C2CCC1C(=CC3=CC=CC=N3)C(=O)C2=CC4=CC=CC=N4
414,5547949,CHEMBL3196976,CC1=C(C(=O)C=CC1=NOS(=O)(=O)C2=CC=CC=C2)C
415,5654285,CHEMBL3199050,CC1=CC(=NOS(=O)(=O)C2=CC=CC=C2)C=CC1=O
416,5824720,CHEMBL3195410,CCC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O
417,5824727,CHEMBL3190880,CCC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=CC(=C4)C(=O)O
418,6035171,CHEMBL3197637,COC(=O)C1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4C2=O
419,9549688,CHEMBL3192555,CC1=CC(=C(C=C1)NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O)C
420,9550941,CHEMBL3195749,COC(=O)C1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
421,9609431,CHEMBL3197091,CC1=CC(=C(C(=C1)C)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)O)C
422,11834470,CHEMBL3189714,CC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
423,22829045,CHEMBL3191855,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O
424,5894545,,CN=C1N(C(=CS1)C2=CC=CC=C2F)NC=C3C=CC(=O)C(=C3O)O
425,5957103,,CN=C1N(C(=CS1)C2=CC=CS2)NC=C3C=CC(=O)C(=C3O)O
426,6282071,,C=CCN=C1N(C(=CS1)C2=CC=CO2)NC=C3C=CC(=O)C(=C3O)O
427,6289422,,CC(C)(C)C1=NN=C(N(C1=O)N)NNC=C2C=C(C=CC2=O)Br
428,5825518,,CCN=C1N(C(=CS1)C)NC=C2C=CC(=O)C(=C2O)O
429,11293258,,CCCCCCCCCCCCCCCCN1C=CC(=C[NH+]=O)C=C1.[Br-]
430,6263555,,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C(=O)NNC=C2C=CC(=O)C(=C2O)O
431,16684434,,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+]
432,5855622,,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=S)NNC=C2C=CC(=O)C(=C2O)O
433,54685047,,CN(C)C1C2C(C3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl
434,5351222,,COC(=O)C1=C2C(=C(C=C1)O)NC3=C(C(=CC(=O)C3=N2)O)C=O
435,5344602,,COC1=CC=CC(=CNNC2=NC=C(C=C2)[N+](=O)[O-])C1=O
436,6040412,,COCCN=C1N(C(=CS1)C2=CC=CO2)NC=C3C=CC(=O)C(=C3O)O
438,4971,,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
439,5766568,,CC1=CC(=C2C(=C1)C(=CC(=N2)C)NNC=C3C=CC(=O)C=C3)C
440,5834362,,CC1=CSC(=NC)N1NC=C2C=CC(=O)C(=C2O)O
441,3580213,,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=S)N
442,6014955,,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NNC=C3C=CC(=O)C(=C3O)O
443,6185683,,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=S)NNC=C3C=C(C=C(C3=O)[N+](=O)[O-])Cl
444,5382140,,C1=CC(=CC=C1NNC2=CC(=O)C(=O)N=C2)S(=O)(=O)N
445,5807729,,C1=CC(=CN=C1)NC(=S)NNC=C2C=CC(=O)C(=C2O)O
446,5929242,,C1C(=C2C=CC(=O)C(=C2)O)NN3C(=NN=C3S1)C4=CC=CO4
447,12004561,,C1CC2=CC(=CNNC(=O)C3=CC=CC=C3O)C(=O)C4=C2N(C1)CCC4
448,11958779,,C1=CC=C(C(=C1)C(=O)NNC=C2C=CC(=O)C(=C2)O)OCC(=O)NNC=C3C=CC(=O)C(=C3)O
449,16236105,,C1=CC=C(C=C1)C(=NNC2=CC=C(C=C2)Br)NN=C3N=NN=N3
450,11405589,,C1=CC2=C(C(=C3C4=C(C=C(C=C4)Br)NC3=O)N=C2C=C1)NO
451,11948738,,C1=CC=C2C(=C1)C=CC(=O)C2=CNNC3=NN=C(C4=CC=CC=C43)C5=NC=CN5
452,5722358,,C1=CC=NC(=C1)NNC=C2C=C(C=CC2=O)[N+](=O)[O-]
453,1895705,,C1=CC=C2C(=C1)C(=CC(=O)C2=O)NC3=CC=CC=C3O
454,3241163,,CC1=C(C(=O)N(C(=O)C1=NC2=CC=C(C=C2)N(C)C)C)C#N
455,649556,,C1=CC=C2C(=C1)C(=O)C(=C3C(=O)C4=CC=CC=C4N3)C2=O
456,672376,,CC1=C(C(=O)N(C(=O)C1=NC2=CC=C(C=C2)N(C)C)CCO)C#N
457,5341375,,C1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NC4=CC=C(C=C4)C(=O)C=CC5=CC=C(C=C5)O
458,5357652,,C1=CC(=CC=C1NN=C2C(=CC(=O)C=C2Cl)Cl)[N+](=O)[O-]
459,5406370,,C1=CC(=O)C=CC1=C2NC(=CS2)C3=CC(=C(C=C3)O)O
460,5718138,,C1=CC=C2C(=C1)C=CC(=NNC3=CC=CC=N3)C2=O
461,5719581,,C1=CC(=NC2=CC(=C3C(=C2[N+](=O)[O-])NON3)Cl)C(=O)C=C1
462,5891295,,CC1=CC=C(O1)C=C2C(=O)N(C(=S)S2)NC=C3C=C(C=CC3=O)[N+](=O)[O-]
463,6061070,,C1=CC(=O)C=CC1=NC2=CC(=C3C(=C2[N+](=O)[O-])NON3)Cl
464,6308684,,C1=CC=C2C(=C1)C=CC(=O)C2=NNC3=NC=CS3
